trace,mmu,frames,no_events,reads,writes,fault_rate,time_sec
sixpack.trace,rand,64,1000000,52015,12697,0.052015,0.466357
sixpack.trace,rand,128,1000000,29475,8533,0.029475,0.4436512
sixpack.trace,rand,256,1000000,15805,5442,0.015805,0.4357638
sixpack.trace,rand,512,1000000,8738,3428,0.008738,0.4344794
sixpack.trace,rand,1024,1000000,5892,2419,0.005892,0.4388728
sixpack.trace,rand,2048,1000000,4495,1321,0.004495,0.4321871
sixpack.trace,rand,4096,1000000,3890,0,0.00389,0.4235776
sixpack.trace,lru,1,1000000,792379,159542,0.792379,0.7750604
sixpack.trace,lru,2,1000000,483161,135857,0.483161,0.6624107
sixpack.trace,lru,4,1000000,282620,71260,0.28262,0.60091
sixpack.trace,lru,8,1000000,176496,32717,0.176496,0.5458778
sixpack.trace,lru,16,1000000,108682,19342,0.108682,0.5112038
sixpack.trace,lru,32,1000000,67747,13730,0.067747,0.4928945
sixpack.trace,lru,64,1000000,41186,9672,0.041186,0.4920542
sixpack.trace,lru,128,1000000,21090,6526,0.02109,0.4863949
sixpack.trace,lru,256,1000000,11240,4092,0.01124,0.4753669
sixpack.trace,lru,512,1000000,5823,2444,0.005823,0.4831069
sixpack.trace,lru,1024,1000000,4468,1846,0.004468,0.4917136
sixpack.trace,lru,2048,1000000,3951,1356,0.003951,0.4856186
sixpack.trace,lru,4096,1000000,3890,0,0.00389,0.4677353
sixpack.trace,clock,1,1000000,792379,159542,0.792379,0.9529587
sixpack.trace,clock,2,1000000,529237,136484,0.529237,0.8196158
sixpack.trace,clock,4,1000000,329368,88943,0.329368,0.7081113
sixpack.trace,clock,8,1000000,191760,40261,0.19176,0.6154198
sixpack.trace,clock,16,1000000,115206,20951,0.115206,0.5601235
sixpack.trace,clock,32,1000000,70849,14432,0.070849,0.5487457
sixpack.trace,clock,64,1000000,41949,9947,0.041949,0.51515
sixpack.trace,clock,128,1000000,23229,7226,0.023229,0.518394
sixpack.trace,clock,256,1000000,11876,4319,0.011876,0.4836722
sixpack.trace,clock,512,1000000,6119,2587,0.006119,0.4832048
sixpack.trace,clock,1024,1000000,4618,1937,0.004618,0.4779608
sixpack.trace,clock,2048,1000000,3993,1374,0.003993,0.486371
sixpack.trace,clock,4096,1000000,3890,0,0.00389,0.4765963
swim.trace,rand,1,1000000,763444,66432,0.763444,1.0510118
swim.trace,rand,2,1000000,556742,60881,0.556742,0.8700731
swim.trace,rand,4,1000000,427392,57759,0.427392,0.7703966
swim.trace,rand,8,1000000,321609,54350,0.321609,0.6767108
swim.trace,rand,16,1000000,195257,40130,0.195257,0.5837298
swim.trace,rand,32,1000000,83610,18270,0.08361,0.4894892
swim.trace,rand,64,1000000,35629,8552,0.035629,0.4411102
swim.trace,rand,128,1000000,18022,5006,0.018022,0.4256346
swim.trace,rand,256,1000000,9292,2954,0.009292,0.4325056
swim.trace,rand,512,1000000,5209,1749,0.005209,0.4248984
swim.trace,rand,1024,1000000,3459,1033,0.003459,0.4172269
swim.trace,rand,2048,1000000,2654,266,0.002654,0.4158214
swim.trace,rand,4096,1000000,2543,0,0.002543,0.4208061
swim.trace,lru,1,1000000,763444,66432,0.763444,0.7559975
swim.trace,lru,2,1000000,470679,60029,0.470679,0.6419017
swim.trace,lru,4,1000000,346936,56045,0.346936,0.6055649
swim.trace,lru,8,1000000,285375,53614,0.285375,0.5848928
swim.trace,lru,16,1000000,171961,46293,0.171961,0.5373985
swim.trace,lru,32,1000000,48254,9674,0.048254,0.4803699
swim.trace,lru,64,1000000,21656,5687,0.021656,0.4633955
swim.trace,lru,128,1000000,13250,3812,0.01325,0.4629713
swim.trace,lru,256,1000000,5673,1866,0.005673,0.4694806
swim.trace,lru,512,1000000,3632,1159,0.003632,0.4648026
swim.trace,lru,1024,1000000,2803,789,0.002803,0.4651578
swim.trace,lru,2048,1000000,2576,259,0.002576,0.4594267
swim.trace,lru,4096,1000000,2543,0,0.002543,0.4645428
swim.trace,clock,1,1000000,763444,66432,0.763444,0.9120469
swim.trace,clock,2,1000000,541458,60678,0.541458,0.8170015
swim.trace,clock,4,1000000,380682,57213,0.380682,0.7370822
swim.trace,clock,8,1000000,293519,54327,0.293519,0.6792371
swim.trace,clock,16,1000000,191848,48350,0.191848,0.6051441
swim.trace,clock,32,1000000,53025,11140,0.053025,0.5160406
swim.trace,clock,64,1000000,22611,5844,0.022611,0.4857471
swim.trace,clock,128,1000000,15275,4371,0.015275,0.4806359
swim.trace,clock,256,1000000,5980,1973,0.00598,0.4871367
swim.trace,clock,512,1000000,3795,1218,0.003795,0.4756935
swim.trace,clock,1024,1000000,2901,809,0.002901,0.4870239
swim.trace,clock,2048,1000000,2642,254,0.002642,0.4725896
swim.trace,clock,4096,1000000,2543,0,0.002543,0.4631507
